loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score
0.9456154704093933,0.9336628317832947,0.2307600975036621,0.9232913851737976,0.9307677149772644,0.30355769395828247
0.9185792803764343,0.9348382353782654,0.33897697925567627,0.9241455793380737,0.8917736411094666,0.35882890224456787
0.9048309326171875,0.9495435357093811,0.39257916808128357,0.906315267086029,0.9567299485206604,0.3854519724845886
0.8915095329284668,0.9617235064506531,0.42826753854751587,0.9045413136482239,0.9325347542762756,0.4112006425857544
0.8842474818229675,0.9640713930130005,0.4447343349456787,0.8865199089050293,0.9576205015182495,0.44812390208244324
0.8781834840774536,0.965642511844635,0.4598667025566101,0.8805472254753113,0.9616971015930176,0.45732590556144714
0.8744474649429321,0.9664337038993835,0.46895962953567505,0.8771358728408813,0.9633578658103943,0.4636046886444092
0.8708019852638245,0.9670630097389221,0.47584792971611023,0.875657320022583,0.9643412828445435,0.4698156714439392
0.8674644827842712,0.9673222303390503,0.48080724477767944,0.8705253601074219,0.9663046002388,0.47250592708587646
0.8557329773902893,0.9708675742149353,0.5344634652137756,0.8568127751350403,0.9707624316215515,0.5813485980033875
0.8428563475608826,0.9717678427696228,0.6161816120147705,0.8634438514709473,0.9576549530029297,0.5693415999412537
0.8393652439117432,0.9725629091262817,0.6226513981819153,0.8628822565078735,0.9584713578224182,0.5679094791412354
0.839542031288147,0.9724915027618408,0.6223742365837097,0.8590635657310486,0.9708399772644043,0.5592367649078369
0.8386330604553223,0.9724887609481812,0.6260541081428528,0.8450374007225037,0.9714987277984619,0.6137456893920898
0.8307711482048035,0.9756206274032593,0.6502979397773743,0.8485047817230225,0.9667496681213379,0.6043758392333984
0.8287276029586792,0.9753570556640625,0.6596366763114929,0.8420243859291077,0.9732087254524231,0.6162838339805603
0.8218322396278381,0.9774949550628662,0.6830140352249146,0.8427413702011108,0.9724425077438354,0.6272783875465393
0.8208743929862976,0.9779289364814758,0.6844889521598816,0.8553877472877502,0.9625934958457947,0.6021044850349426
0.8200895190238953,0.9779631495475769,0.6877265572547913,0.8375524878501892,0.9739769697189331,0.6294496655464172
0.8167630434036255,0.9789903163909912,0.696480929851532,0.8418800234794617,0.973244309425354,0.6331021785736084
0.8155501484870911,0.9789561033248901,0.7003862261772156,0.8342500925064087,0.9697586894035339,0.657248318195343
0.8107286691665649,0.9806686043739319,0.7188625335693359,0.8367334008216858,0.9742724895477295,0.6353397369384766
0.8066473603248596,0.9820459485054016,0.7323601841926575,0.8400803208351135,0.9702988862991333,0.6300117373466492
0.8050209283828735,0.9825096130371094,0.7361451387405396,0.8311636447906494,0.9727516770362854,0.6617568135261536
0.80086749792099,0.9834449887275696,0.7501382827758789,0.8288405537605286,0.9758497476577759,0.6732347011566162
0.799462616443634,0.9840369820594788,0.754939079284668,0.8337214589118958,0.9742924571037292,0.6574720144271851
0.79815673828125,0.9844839572906494,0.7566986083984375,0.8355814218521118,0.9739583134651184,0.6642057299613953
0.7962612509727478,0.9852551817893982,0.7640453577041626,0.83795166015625,0.9750937819480896,0.6438663005828857
0.7968208193778992,0.9851493835449219,0.7621122598648071,0.8324751257896423,0.9722354412078857,0.6654777526855469
0.7961412668228149,0.9852096438407898,0.7662889361381531,0.8345401287078857,0.9746379852294922,0.6442195773124695
